# OpenSubtitles2018 frequency export (hermitdave/FrequencyWords)
# source: https://github.com/hermitdave/FrequencyWords
# exported-at: 2026-08-26T17:45:21+00:00
# license: CC BY-SA-4.0
7404	begynne
7384	idé
7383	fly
7373	mente
7350	telefonen
7309	time
7289	tide
7286	passer
7273	hendene
7228	blod
7207	vis
7197	perfekt
7145	kjente
7142	sint
7137	lære
7109	rart
7086	verre
7082	dritt
7057	sove
7046	betale
7030	svar
7023	svært
7009	sam
7001	frank
6998	gift
6996	gjelder
6973	ventet
6962	sendte
6960	finn
6946	lager
6945	altså
6936	fengsel
6914	sist
6900	unge
6891	likevel
6885	ille
6879	uker
6854	fortsett
6840	viser
6833	stoppe
6822	klarte
6812	hånd
6811	forteller
6781	kjærlighet
6774	aner
6765	slutte
6761	lov
6751	nær
6668	morsomt
6642	dr
6629	elsket
6618	sender
6610	hardt
6608	lykke
6583	sitte
6574	middag
6555	historie
6549	skrive
6540	beskytte
6499	lyst
6482	dum
6479	fare
6462	spiser
6455	sak
6454	forstå
6446	reise
6428	slo
6427	leter
6412	sex
6402	måten
6401	likte
6393	millioner
6373	damer
6364	jenter
6349	kjør
6308	fall
6300	spurte
6295	fortalt
6255	synd
6238	skikkelig
6232	frem
6220	reddet
6208	idiot
6206	brukte
6184	herrer
6162	york
6162	trengte
6160	små
6152	følge
6143	følger
6140	kaffe
6112	sende
6106	pris
6096	problemet
6092	vakker
6085	foregår
6070	syk
6056	skyte
6043	live
6041	barnet
6032	prate
6029	ærlig
6014	farlig
6008	bruk
5988	lot
5983	bo
5983	drikke
5982	svarte
5980	gratulerer
5974	land
5955	større
5954	flink
5929	gifte
5921	rette
5897	legger
5868	fortsette
5864	avtale
5823	nummer
5821	slipper
5805	datteren
5801	kvelden
5789	lese
5782	henter
5766	døra
5763	lurer
5754	slår
5752	jaså
5730	gøy
5718	bekymret
5716	ofte
5709	herre
5653	endelig
5650	ansiktet
5649	masse
5630	åtte
5628	hjertet
5621	charlie
5617	l
5605	foreldrene
5595	døren
5589	kun
5580	sto
5572	betaler
5569	ung
5561	skjøt
5558	datter
5551	egne
5544	skade
5536	absolutt
5520	traff
5519	enkelt
5515	hent
5496	klokka
5495	slippe
5489	forklare
5482	stole
5458	skutt
5455	venstre
5454	råd
5450	kontakt
5447	krig
5437	annerledes
5430	verdt
5428	skrev
5409	krigen
5407	eget
5400	stikke
5376	antar
5373	dr.
5366	ben
5337	vant
5319	ønsket
5317	stikker
5315	hvite
5310	høyre
5303	historien
5290	david
5290	michael
5289	beskjed
5289	husk
5280	tjeneste
5274	føle
5254	lå
5241	høyt
5236	største
5216	kort
5215	kastet
5170	slåss
5158	vinner
5148	sjefen
5145	natten
5139	skadet
5128	skyt
5124	rør
5123	spill
5109	sjef
5104	født
5100	særlig
5079	kompis
5055	kontoret
5050	sjekke
5035	huske
5031	glemte
5030	umulig
5024	dessverre
5020	spesielt
5012	person
4996	doktor
4991	bevis
4969	sendt
4967	falt
4967	flytte
4942	mister
4941	drittsekk
4938	plan
4922	by
4922	nødt
4922	forhold
4913	vennene
4899	farvel
4898	klokken
4898	kult
4889	steder
4871	opptatt
4870	noensinne
4866	stoler
4865	sover
4863	stolt
4859	skyter
4854	raskt
4850	mike
4842	peter
4807	verdens
4801	sjekk
4793	vanlig
4790	svart
4788	skynd
4787	vinne
4775	rolle
4775	vannet
4773	ødelegge
4770	vare
4757	james
4754	dame
4752	overalt
4740	søster
4739	tuller
4732	smart
4731	kjørte
4726	joe
4698	skylder
4696	skriver
4679	passe
4643	alvorlig
4641	skatt
4641	president
4636	lykkelig
4632	menneske
4631	ødelagt
4620	planen
4619	kjæresten
4619	sekunder
4600	stikk
4592	hånden
4588	drink
4584	bilde
4559	george
4535	ordne
4532	leder
4528	mrs.
4528	kjøpte
4527	døden
4524	fest
4521	tv
4511	forstått
4509	forlate
4506	selge
4504	skål
4499	brukt
4493	arbeid
4490	iblant
4489	ordre
4487	minste
4478	sterk
4465	kamp
4461	prøvd
4458	satte
4453	fortsetter
4448	miste
4439	lurte
4436	dyr
4430	bord
4417	onkel
4415	deler
4407	følg
4406	søsteren
4404	savner
4392	fortjener
4384	øl
4379	lik
4378	sju
4366	tingene
4364	plutselig
4346	hvilket
4344	sykehuset
4335	send
4335	skipet
4329	slikt
4319	søt
4319	lyver
4312	kvinnen
4312	møtt
4311	glemt
4307	kroppen
4289	guds
4288	interessert
4286	mrs
4270	harry
4265	midt
4262	ni
4257	ligge
4257	sjansen
4256	mennene
4252	interessant
4244	lærer
4241	skaffe
4240	okay
4230	kontroll
4230	stjal
4229	savnet
4227	forelsket
4219	bill
4210	merkelig
4201	enig
4195	lege
4185	fungerer
4178	general
4174	baby
4170	usa
4170	kl
4167	forbi
4164	sulten
4154	glemme
4148	lys
4138	lukk
4127	kalle
4121	flyet
4113	flyttet
4100	pent
4100	verste
4090	lærte
4088	hender
4078	sluttet
4067	ære
4063	innen
4063	kutt
4050	øyne
4045	ryggen
4037	fleste
4036	agent
4033	hjalp
4028	eier
4022	personlig
4020	mary
4017	jim
4013	nyheter
4011	elske
4009	kaste
4004	snu
4001	dumt
3995	hjerte
3982	sprø
3977	blant
3975	følte
3975	nydelig
3975	øye
3972	arbeidet
3969	fanget
3967	danny
3959	bob
3957	meter
3950	unnskyldning
3936	angrep
3935	morges
3932	mening
3914	løs
3910	jentene
3909	lagt
3908	jævel
3897	drikker
3896	dumme
3892	bilder
3889	forrige
3884	trekk
3882	etterpå
